中型车流量,数据时间,大车流量,平均车速,监测点id,微型车流量,长车流量,车头距,id,车流量,平均占道率,轻型车流量
705,"	2023-03-20 00:00:00",539,"9.2599999999999994E+001",1001,6807,539,0,23268,8051,"5.7999999999999998E+000",6807
981,"	2023-03-21 00:00:00",811,"9.15E+001",1001,8072,813,0,23269,9853,"6.2999999999999998E+000",8061
2051,"	2023-03-22 00:00:00",1972,"9.4700000000000003E+001",1001,13885,1972,0,23270,17908,"8.9000000000000004E+000",13885
83,"	2022-11-20 00:00:00",0,"6.75E+001",1001,685,30,0,22967,798,"1.1000000000000001E+000",0
345,"	2021-01-13 00:00:00",0,"8.7200000000000003E+001",1001,3682,224,0,20602,4251,"3.2999999999999998E+000",0
4,"	2022-11-19 00:00:00",1,"6.1299999999999997E+001",1001,412,14,0,22953,68,"1.1000000000000001E+000",63
1,"	2023-03-26 00:00:00",2,"7.8799999999999997E+001",1001,408,25,0,23287,55,"1.0E+000",52
197,"	2023-03-27 00:00:00",134,"8.3700000000000003E+001",1001,1863,134,0,23288,2194,"2.8999999999999999E+000",1863
541,"	2023-03-28 00:00:00",579,"7.6299999999999997E+001",1001,3865,579,0,23289,4979,"6.9000000000000004E+000",3859
558,"	2023-03-29 00:00:00",560,"7.2299999999999997E+001",1001,4112,561,0,23290,5203,"6.2999999999999998E+000",4085
240,"	2023-03-30 00:00:00",181,"7.9799999999999997E+001",1001,1853,184,0,23291,2274,"4.7000000000000002E+000",1853
1769,"	2021-09-09 00:00:00",2657,"7.9700000000000003E+001",1001,11233,2657,0,21537,15659,"1.4300000000000001E+001",11233
652,"	2017-12-08 00:00:00",330,"7.2400000000000006E+001",1001,3494,640,0,6201,5716,"2.7999999999999998E+000",600
1712,"	2021-10-23 00:00:00",2067,"9.15E+001",1001,16176,2901,0,21597,14928,"1.3300000000000001E+001",11149
2913,"	2020-06-29 00:00:00",0,"6.1100000000000001E+001",1001,31840,7225,0,18962,41978,"3.7799999999999997E+001",0
3617,"	2020-06-28 00:00:00",0,"6.55E+001",1001,37656,9225,0,18961,50498,"3.6E+001",0
1376,"	2021-10-19 00:00:00",2050,"8.0799999999999997E+001",1001,8659,2050,0,21593,12099,"1.21E+001",8673
4183,"	2020-06-27 00:00:00",0,"6.8599999999999994E+001",1001,42742,10133,0,18944,57058,"3.3700000000000003E+001",0
